date,location,dayLength,dayLengthSeconds
2021-01-15,"Kigali, Rwanda",12:13:22,44002
2021-01-15,"Cape Town",14:08:29,50909
2021-01-15,"Tromsø, Norway",01:17:17,4637
2021-01-15,"Anchorage, Alaska",06:29:28,23368
2021-01-16,"Kigali, Rwanda",12:13:18,43998
2021-01-16,"Torres del Paine, Chile",15:55:11,57311
2021-01-16,"Copenhagen",07:45:53,27953
2021-01-16,"Cape Town",14:07:14,50834
2021-01-16,"Hong Kong",10:55:56,39356
2021-01-16,"Tromsø, Norway",01:41:47,6107
2021-01-16,"Los Angeles",10:10:55,36655
2021-01-16,"Anchorage, Alaska",06:33:48,23628
2021-01-16,"New York",09:38:22,34702
2021-01-16,"Wells, Maine",09:23:42,33822
2021-01-16,"Queenstown, New Zealand",15:10:21,54621
2021-01-17,"Wells, Maine",09:25:32,33932
2021-01-17,"Kigali, Rwanda",12:13:13,43993
2021-01-17,"Copenhagen",07:49:00,28140
2021-01-17,"Torres del Paine, Chile",15:52:35,57155
2021-01-17,"New York",09:40:01,34801
2021-01-17,"Tromsø, Norway",02:02:04,7324
2021-01-17,"Cape Town",14:05:56,50756
2021-01-17,"Hong Kong",10:56:41,39401
2021-01-17,"Queenstown, New Zealand",15:08:22,54502
2021-01-17,"Los Angeles",10:12:11,36731
2021-01-17,"Anchorage, Alaska",06:38:12,23892
2021-01-18,"Hong Kong",10:57:27,39447
2021-01-18,"Queenstown, New Zealand",15:06:18,54378
2021-01-18,"Copenhagen",07:52:12,28332
2021-01-18,"Wells, Maine",09:27:24,34044
2021-01-18,"Kigali, Rwanda",12:13:09,43989
2021-01-18,"Tromsø, Norway",02:19:57,8397
2021-01-18,"Los Angeles",10:13:29,36809
2021-01-18,"New York",09:41:44,34904
2021-01-18,"Anchorage, Alaska",06:42:43,24163
2021-01-18,"Torres del Paine, Chile",15:49:53,56993
2021-01-18,"Cape Town",14:04:36,50676
2021-01-19,"Los Angeles",10:14:50,36890
2021-01-19,"Torres del Paine, Chile",15:47:08,56828
2021-01-19,"Hong Kong",10:58:14,39494
2021-01-19,"Kigali, Rwanda",12:13:04,43984
2021-01-19,"Queenstown, New Zealand",15:04:13,54253
2021-01-19,"Wells, Maine",09:29:20,34160
2021-01-19,"Tromsø, Norway",02:36:18,9378
2021-01-19,"Cape Town",14:03:14,50594
2021-01-19,"New York",09:43:28,35008
2021-01-19,"Anchorage, Alaska",06:47:18,24438
2021-01-19,"Copenhagen",07:55:29,28529
2021-01-20,"Wells, Maine",09:31:19,34279
2021-01-20,"Copenhagen",07:58:50,28730
2021-01-20,"Hong Kong",10:59:03,39543
2021-01-20,"Anchorage, Alaska",06:51:58,24718
2021-01-20,"Los Angeles",10:16:13,36973
2021-01-20,"Queenstown, New Zealand",15:02:04,54124
2021-01-20,"Cape Town",14:01:51,50511
2021-01-20,"Tromsø, Norway",02:51:32,10292
2021-01-20,"Torres del Paine, Chile",15:44:19,56659
2021-01-20,"New York",09:45:16,35116
2021-01-20,"Kigali, Rwanda",12:12:59,43979
2021-01-21,"Tromsø, Norway",03:05:55,11155
2021-01-21,"Hong Kong",10:59:53,39593
2021-01-21,"Wells, Maine",09:33:20,34400
2021-01-21,"Cape Town",14:00:24,50424
2021-01-21,"Anchorage, Alaska",06:56:43,25003
2021-01-21,"Queenstown, New Zealand",14:59:52,53992
2021-01-21,"Torres del Paine, Chile",15:41:27,56487
2021-01-21,"Kigali, Rwanda",12:12:54,43974
2021-01-21,"Copenhagen",08:02:15,28935
2021-01-21,"New York",09:47:05,35225
2021-01-21,"Los Angeles",10:17:37,37057
2021-01-22,"New York",09:48:57,35337
2021-01-22,"Los Angeles",10:19:04,37144
2021-01-22,"Copenhagen",08:05:45,29145
2021-01-22,"Kigali, Rwanda",12:12:50,43970
2021-01-22,"Queenstown, New Zealand",14:57:36,53856
2021-01-22,"Hong Kong",11:00:44,39644
2021-01-22,"Cape Town",13:58:56,50336
2021-01-22,"Torres del Paine, Chile",15:38:30,56310
2021-01-22,"Anchorage, Alaska",07:01:32,25292
2021-01-22,"Tromsø, Norway",03:19:37,11977
2021-01-22,"Wells, Maine",09:35:24,34524
2021-01-23,"Copenhagen",08:09:19,29359
2021-01-23,"Torres del Paine, Chile",15:35:30,56130
2021-01-23,"Kigali, Rwanda",12:12:44,43964
2021-01-23,"Wells, Maine",09:37:31,34651
2021-01-23,"Hong Kong",11:01:37,39697
2021-01-23,"Queenstown, New Zealand",14:55:18,53718
2021-01-23,"Los Angeles",10:20:33,37233
2021-01-23,"New York",09:50:52,35452
2021-01-23,"Tromsø, Norway",03:32:47,12767
2021-01-23,"Anchorage, Alaska",07:06:25,25585
2021-01-23,"Cape Town",13:57:27,50247
2021-01-24,"Anchorage, Alaska",07:11:22,25882
2021-01-24,"Tromsø, Norway",03:45:29,13529
2021-01-24,"Cape Town",13:55:54,50154
2021-01-24,"Torres del Paine, Chile",15:32:28,55948
2021-01-24,"Copenhagen",08:12:55,29575
2021-01-24,"Kigali, Rwanda",12:12:39,43959
2021-01-24,"Queenstown, New Zealand",14:52:57,53577
2021-01-24,"Los Angeles",10:22:03,37323
2021-01-24,"Hong Kong",11:02:30,39750
2021-01-24,"Wells, Maine",09:39:41,34781
2021-01-24,"New York",09:52:49,35569
2021-01-25,"Queenstown, New Zealand",14:50:33,53433
2021-01-25,"Los Angeles",10:23:35,37415
2021-01-25,"Copenhagen",08:16:36,29796
2021-01-25,"Cape Town",13:54:21,50061
2021-01-25,"Hong Kong",11:03:25,39805
2021-01-25,"Wells, Maine",09:41:52,34912
2021-01-25,"New York",09:54:48,35688
2021-01-25,"Tromsø, Norway",03:57:50,14270
2021-01-25,"Kigali, Rwanda",12:12:34,43954
2021-01-25,"Anchorage, Alaska",07:16:23,26183
2021-01-25,"Torres del Paine, Chile",15:29:22,55762
2021-01-26,"Los Angeles",10:25:10,37510
2021-01-26,"Wells, Maine",09:44:06,35046
2021-01-26,"Anchorage, Alaska",07:21:27,26487
2021-01-26,"Copenhagen",08:20:21,30021
2021-01-26,"Kigali, Rwanda",12:12:29,43949
2021-01-26,"Queenstown, New Zealand",14:48:07,53287
2021-01-26,"Tromsø, Norway",04:09:51,14991
2021-01-26,"New York",09:56:49,35809
2021-01-26,"Torres del Paine, Chile",15:26:13,55573
2021-01-26,"Hong Kong",11:04:20,39860
2021-01-26,"Cape Town",13:52:46,49966
2021-01-27,"Anchorage, Alaska",07:26:34,26794
2021-01-27,"New York",09:58:52,35932
2021-01-27,"Kigali, Rwanda",12:12:23,43943
2021-01-27,"Hong Kong",11:05:16,39916
2021-01-27,"Cape Town",13:51:09,49869
2021-01-27,"Wells, Maine",09:46:23,35183
2021-01-27,"Torres del Paine, Chile",15:23:02,55382
2021-01-27,"Copenhagen",08:24:07,30247
2021-01-27,"Tromsø, Norway",04:21:33,15693
2021-01-27,"Los Angeles",10:26:45,37605
2021-01-27,"Queenstown, New Zealand",14:45:39,53139
2021-01-28,"Cape Town",13:49:30,49770
2021-01-28,"Copenhagen",08:27:58,30478
2021-01-28,"Queenstown, New Zealand",14:43:08,52988
2021-01-28,"Hong Kong",11:06:15,39975
2021-01-28,"Kigali, Rwanda",12:12:18,43938
2021-01-28,"Wells, Maine",09:48:41,35321
2021-01-28,"Los Angeles",10:28:22,37702
2021-01-28,"Anchorage, Alaska",07:31:45,27105
2021-01-28,"Torres del Paine, Chile",15:19:47,55187
2021-01-28,"Tromsø, Norway",04:33:01,16381
2021-01-28,"New York",10:00:58,36058
2021-01-29,"Anchorage, Alaska",07:36:59,27419
2021-01-29,"Copenhagen",08:31:51,30711
2021-01-29,"Torres del Paine, Chile",15:16:30,54990
2021-01-29,"Cape Town",13:47:50,49670
2021-01-29,"Kigali, Rwanda",12:12:12,43932
2021-01-29,"Tromsø, Norway",04:44:17,17057
2021-01-29,"Queenstown, New Zealand",14:40:35,52835
2021-01-29,"New York",10:03:05,36185
2021-01-29,"Wells, Maine",09:51:01,35461
2021-01-29,"Los Angeles",10:30:02,37802
2021-01-29,"Hong Kong",11:07:12,40032
2021-01-30,"Kigali, Rwanda",12:12:06,43926
2021-01-30,"Los Angeles",10:31:42,37902
2021-01-30,"Anchorage, Alaska",07:42:15,27735
